wikipedia_id,BookRating,MovieRuntime,MovieRating,MovieBoxOffice,MovieRatingNb,MovieGenre,neg,neu,pos,compound,polarity,subjectivity,sadness,joy,love,anger,fear,surprise,EnglishLanguage,FrenchLanguage,GermanLanguage,SpanishLanguage,ActionAdventure,Comedy,CrimeGangster,Drama,FamilyChildren,FantasyScienceFiction,HistoricalPeriod,HorrorSupernatural,OtherGenre,RomanceRelationship,ThrillersMysteries
3333,3.9159999999999995,190.0,6.1,50000000.0,26959,Silent film,0.091,0.813,0.096,0.9099,0.010443376068376,0.3737713675213676,0.0842135340603168,0.1996448103948621,0.0397939680411322,0.3969164220865683,0.2754270304181513,0.0040042421694254,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
21135479,3.85,112.0,6.8,900000.0,384,Silent film,0.108,0.804,0.087,-0.1531,0.0199999999999999,0.37,0.0245027691125869,0.9201065897941588,0.0048257834278047,0.0409523770213127,0.0062559689395129,0.0033563850447535,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
73930,3.68,246.0,8.0,274827.0,11078,Silent film,0.14,0.8,0.06,-0.9992,0.0004410173160173,0.4441815476190475,0.0906074051024356,0.2775118930659328,0.0363293321839032,0.4003447892681624,0.1926508207666651,0.0025557546126387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
308930,3.97,106.0,7.5,2000000.0,20708,Horror,0.102,0.796,0.102,0.5619,0.0215532518164097,0.4266524898103845,0.1088086958884642,0.1975737561445302,0.0206015047723088,0.308628081205428,0.3589387721720744,0.0054491815849112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
31667694,4.01,113.21957403651116,4.9,575000.0,251,Romance Film,0.062,0.77,0.168,0.9557,0.2458333333333333,0.4625000000000001,0.2639965969137847,0.1786796258695955,0.1107598545828035,0.3442644817488534,0.0983612170842077,0.0039382406393997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2410609,3.76,123.0,5.8,1383000.0,7123,Action/Adventure,0.046,0.929,0.025,-0.3506,0.2348484848484848,0.4772727272727273,0.2182103730738163,0.2460987456142902,0.0045707300305366,0.3904068022966385,0.1360135860741138,0.0046998118050396,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
73488,3.9159999999999995,65.0,7.8,12000000.0,82346,Science Fiction,0.144,0.774,0.082,-0.9978,-0.0438991769547325,0.488475896531452,0.0608243584529012,0.1499328552154646,0.0041847925441449,0.3346237908448458,0.4245811178564098,0.0258530861987417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1348145,4.0,72.0,6.9,2000000.0,1166,Comedy-drama,0.134,0.742,0.124,-0.8791,0.0633812615955473,0.5514919604205317,0.2324775164406195,0.2406654801176811,0.1420947087248542,0.2303481943396802,0.1534695552622188,0.0009445492760278,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7715240,3.93,78.0,7.1,443000.0,14425,Thriller,0.109,0.785,0.106,-0.4707,-0.0434523809523809,0.4464285714285715,0.1624392078245162,0.1582973866068102,0.0039453195409064,0.3115951776444153,0.359374737379969,0.0043481723017369,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2259030,3.9159999999999995,189.0,6.9,2540000.0,8405,Action,0.105,0.764,0.132,0.7613,0.0423076923076923,0.7102564102564103,0.1877738253808477,0.4219213275096586,0.0055091039749741,0.1708980939325152,0.2031646690269958,0.0107329918286672,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2175661,4.08,115.0,7.2,2000000.0,8110,Costume drama,0.084,0.774,0.142,0.9581,0.1368285123966942,0.4789944903581267,0.323236746201634,0.2625604964987895,0.031854186558014,0.2037228128020241,0.1748681496717515,0.0037575982483651,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
1416847,3.9159999999999995,76.0,6.6,563323.0,751,Drama,0.183,0.585,0.232,0.3818,0.65,0.65,0.3541734218597412,0.0231858119368553,0.0037187784910202,0.5995754599571228,0.0166866276413202,0.0026599729899317,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3344455,3.9159999999999995,78.0,7.0,793000.0,1482,Family Film,0.0,0.937,0.063,0.4019,0.05,0.2,0.3589156805537641,0.0414086692035198,0.0058361432747915,0.0926510756835341,0.4977093636989593,0.0034790873760357,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
44696,3.9159999999999995,65.0,8.1,2500000.0,115057,Romantic comedy,0.043,0.861,0.096,0.9816,0.0415037471489084,0.3681247963506028,0.0951518385802585,0.3222509826300666,0.0472130184201954,0.2905820574982229,0.2405017609918205,0.0043003331881697,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
