,title_book,author_book,year_book,title_film,year_film
1,The 25th Hour,David Benioff,2001,25th Hour,2002
2,3 Assassins,Kōtarō Isaka,2004,Grasshopper,2015
3,4.50 from Paddington,Agatha Christie,1957,"Murder, She Said",1961
4,4.50 from Paddington,Agatha Christie,1957,Crime Is Our Business,2008
5,58 Minutes,Walter Wager,1987,Die Hard 2,1990
6,69,Ryu Murakami,1987,69,2004
8,The A.B.C. Murders,Agatha Christie,1936,The Alphabet Murders,1966
9,À ton image,Louise L. Lambrichs,1998,À ton image,2004
10,About a Boy,Nick Hornby,1998,About a Boy,2002
11,About Schmidt,Louis Begley,1996,About Schmidt,2002
12,Absolute Power,David Baldacci,1996,Absolute Power,1997
13,The Accidental Tourist,Anne Tyler,1985,The Accidental Tourist,1988
14,Across 110th, Wally Ferris,1970,Across 110th Street,1972
15,Adam Resurrected,Yoram Kaniuk,1969,Adam Resurrected,2009
16,Adams Fall, Sean Desmond,2000,Abandon,2002
17,Addie Pray,Joe David Brown,1971,Paper Moon,1973
18,Adiliya by the River, Jin Renshun,1999,Green Tea,2003
19,Adolphe,Benjamin Constant,1816,Adolphe,2002
20,Adventure,Jack London,1911,Adventure,1925
21,The Adventurers,Harold Robbins,1966,The Adventurers,1970
22,The Adventures of Captain Alatriste,Arturo Pérez-Reverte,,Alatriste,2006
23,The Adventures of Captain Hatteras,Jules Verne,1866,The Conquest of the Pole,1912
24,The Adventures of Hajji Baba of Ispahan,James Justinian Morier,1824,The Adventures of Hajji Baba,1954
25,Adventures of Huckleberry Finn,Mark Twain,1884,Huckleberry Finn,1920
26,Adventures of Huckleberry Finn,Mark Twain,1884,Huckleberry Finn,1931
27,Adventures of Huckleberry Finn,Mark Twain,1884,Huck Finn,1937
28,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huckleberry Finn,1939
29,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huckleberry Finn,1955
30,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huckleberry Finn,1960
31,Adventures of Huckleberry Finn,Mark Twain,1884,Huckleberry Finn,1974
32,Adventures of Huckleberry Finn,Mark Twain,1884,Hopelessly Lost,1972
33,Adventures of Huckleberry Finn,Mark Twain,1884,Huckleberry Finn,1975
34,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huckleberry Finn,1981
35,Adventures of Huckleberry Finn,Mark Twain,1884,Adventures of Huckleberry Finn,1985
36,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huck Finn,1993
37,Adventures of Huckleberry Finn,Mark Twain,1884,Tom and Huck,1995
38,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1911
39,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1936
40,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1940
41,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1947
42,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1957
