MovieBoxOffice,MovieGenre,wikipedia_id,neg,neu,pos,compound,polarity,subjectivity,sadness,joy,love,anger,fear,surprise
,"Silent film, Fantasy, Black-and-white",18979350,0.0,0.782,0.218,0.9001,0.425,0.55,0.004051427744949858,0.950221836566925,0.004429684466837595,0.011801499431991639,0.024717488335833575,0.004778055920420836
,"Silent film, Drama",35873083,0.012,0.877,0.111,0.8934,0.29125874125874124,0.49038461538461536,0.06640025286590874,0.5575647254784902,0.010756384324243603,0.24483466805880502,0.11365913095263143,0.006784846695760886
,Drama,14404921,0.063,0.687,0.25,0.9785,0.24166666666666667,0.37916666666666665,0.2797212868463248,0.4978681130160112,0.0014897519431542605,0.18994973541703075,0.029570197453722358,0.0014008811122039333
,"Silent film, Drama, Biographical film, Indie",206737,0.078,0.82,0.102,0.2023,0.25,0.44999999999999996,0.009835346194449812,0.6186657367895046,0.009227178884126866,0.01309735260050123,0.3441758679303651,0.004998490835229556
,"Silent film, Western, Black-and-white, Indie",13503455,0.066,0.934,0.0,-0.2263,0.0011904761904761956,0.22261904761904763,0.009904514066874981,0.0017465467099100351,0.00041072157910093665,0.00962337851524353,0.9772054553031921,0.0011093223001807928
,"Silent film, Drama, Romance Film, Black-and-white",19137536,0.071,0.744,0.185,0.875,0.18875,0.4091666666666667,0.5009704323019832,0.48319983651163056,0.002036181584117003,0.011806812777649611,0.0012931928795296699,0.0006934996345080435
,"Silent film, Horror, Indie, Science Fiction, Black-and-white, Short Film",7883633,0.0,0.951,0.049,0.2732,0.010185185185185174,0.42407407407407405,0.014945938135497272,0.4888647999614477,0.005082229268737137,0.37376804428640753,0.08723115338943899,0.03010787896346301
,"Romance Film, Drama, Adventure, War film",21109961,0.063,0.687,0.25,0.9785,0.24166666666666667,0.37916666666666665,0.2797212868463248,0.4978681130160112,0.0014897519431542605,0.18994973541703075,0.029570197453722358,0.0014008811122039333
,"Silent film, Western, Black-and-white, Indie",13539445,0.091,0.802,0.107,-0.1027,-0.004292929292929293,0.7370370370370372,0.025028452640981413,0.5899734008125961,0.036099013610510156,0.26653635680122534,0.07936446050007362,0.0029983056883793324
900000.0,"Silent film, Drama, Comedy, Black-and-white, Film adaptation",21135479,0.0,0.668,0.332,0.9633,0.09375,0.75,0.008089057577308267,0.757683053612709,0.1667737146053696,0.04442978154838784,0.01542894321755739,0.00759547037887387
,"Swashbuckler films, Silent film, Black-and-white",15157654,0.123,0.592,0.285,0.9286,0.26851851851851855,0.4111111111111111,0.0015056436241138726,0.6654489693076661,0.0006402258877642453,0.011532832509449994,0.3200038587965537,0.0008684285664154837
,"Western, Silent film, Indie",6055271,0.026,0.891,0.083,0.836,-0.026234567901234573,0.34891975308641976,0.0546936300982322,0.37019040568598677,0.015367622570400792,0.28740485943853855,0.26481195678934455,0.007531493661060397
,"Silent film, Indie, Black-and-white",5566154,0.193,0.737,0.07,-0.9357,-0.11111111111111112,0.5625,0.00731992069631815,0.005146426614373922,0.000603139225859195,0.9779217839241028,0.008684715256094933,0.00032411550637334585
,"Mystery, Silent film, Black-and-white",15783504,0.033,0.864,0.103,0.9098,0.24810606060606064,0.40795454545454546,0.2656088881776668,0.6490637569998702,0.0024882755533326417,0.06190004420932382,0.018636988805762183,0.0023020431981422007
,"Silent film, Drama, Black-and-white",16113118,0.076,0.765,0.159,0.986,0.19455667789001124,0.44969135802469135,0.20349747135021193,0.5002307960364435,0.018507674116075838,0.2750481115945149,0.0018206261239746319,0.0008952806238085032
